                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93071,                  3.754,                 1.2238,                 0.8573,                 0.1691,                0.20431,                 0.1487,                 1.2007,                 2.8562,                 1.5188,             0.00010975,             0.00010975,             0.00010975
                      2,                0.94916,                 2.1047,                 1.2415,                0.94025,                0.28206,                0.40757,                0.29968,                 1.1933,                 2.0896,                 1.4785,             0.00021857,             0.00021857,             0.00021857
                      3,                0.93973,                 1.6095,                 1.2218,                0.89659,                0.38293,                0.45719,                0.34707,                 1.1718,                 1.7741,                 1.4527,             0.00032518,             0.00032518,             0.00032518
                      4,                0.92788,                 1.4461,                 1.2003,                0.83833,                0.43121,                0.56973,                0.43074,                 1.1214,                  1.616,                  1.398,             0.00032311,             0.00032311,             0.00032311
                      5,                0.89547,                 1.2987,                 1.1888,                0.75679,                0.59249,                0.65143,                0.48143,                  1.166,                 1.4736,                 1.4171,             0.00032311,             0.00032311,             0.00032311
                      6,                0.90248,                 1.1888,                  1.185,                0.74069,                 0.6263,                0.73269,                0.54042,                 1.1515,                  1.384,                 1.4047,             0.00031981,             0.00031981,             0.00031981
                      7,                 0.8884,                 1.1098,                 1.1622,                0.81361,                 0.6601,                0.74797,                0.55042,                 1.1122,                 1.2369,                 1.3754,             0.00031652,             0.00031652,             0.00031652
                      8,                0.87521,                 1.0572,                 1.1553,                0.72471,                0.73883,                0.75024,                0.55318,                 1.1303,                 1.1683,                 1.4253,             0.00031322,             0.00031322,             0.00031322
                      9,                0.89371,                 1.0572,                 1.1562,                0.70887,                0.78436,                0.77088,                0.57878,                 1.1258,                 1.1437,                 1.3574,             0.00030992,             0.00030992,             0.00030992
                     10,                0.87805,                 1.0116,                 1.1476,                0.75927,                0.73866,                0.76254,                0.58518,                 1.1324,                 1.1165,                 1.4018,             0.00030663,             0.00030663,             0.00030663
                     11,                0.86831,                0.97853,                 1.1552,                0.84801,                0.75811,                0.82721,                0.61698,                 1.1144,                   1.09,                 1.3625,             0.00030333,             0.00030333,             0.00030333
                     12,                0.85775,                0.96005,                 1.1498,                0.88348,                0.73047,                0.82916,                0.59618,                 1.1332,                 1.0639,                 1.3717,             0.00030003,             0.00030003,             0.00030003
                     13,                0.83091,                0.91497,                 1.1355,                0.81963,                0.78847,                0.83773,                0.61506,                 1.0999,                 1.0922,                 1.3551,             0.00029674,             0.00029674,             0.00029674
                     14,                0.85944,                0.94135,                 1.1509,                0.88153,                0.71917,                0.83459,                0.60498,                 1.1114,                 1.0788,                 1.3643,             0.00029344,             0.00029344,             0.00029344
                     15,                0.83707,                0.89637,                 1.1348,                0.83019,                0.80259,                0.83398,                0.63879,                 1.0877,                 1.0068,                 1.3355,             0.00029014,             0.00029014,             0.00029014
                     16,                0.84062,                0.90582,                 1.1396,                0.87054,                0.75913,                0.85868,                0.63903,                 1.0918,                0.95546,                 1.3619,             0.00028685,             0.00028685,             0.00028685
                     17,                0.82304,                0.86208,                 1.1249,                0.88506,                0.76798,                0.85653,                 0.6421,                 1.0826,                 1.0038,                 1.3287,             0.00028355,             0.00028355,             0.00028355
                     18,                0.83695,                0.89628,                 1.1384,                0.75325,                0.87288,                0.86813,                0.64727,                 1.0853,                0.94183,                  1.351,             0.00028025,             0.00028025,             0.00028025
                     19,                0.83006,                0.84245,                 1.1264,                0.85776,                0.81919,                0.84981,                0.64232,                 1.1013,                0.92144,                 1.3619,             0.00027696,             0.00027696,             0.00027696
                     20,                0.81326,                 0.8267,                 1.1186,                 0.8598,                0.79214,                0.87416,                0.65688,                 1.0857,                0.96731,                 1.3529,             0.00027366,             0.00027366,             0.00027366
                     21,                0.83785,                0.84551,                 1.1301,                0.87021,                0.82669,                0.87697,                0.67187,                 1.0666,                0.96286,                 1.3011,             0.00027036,             0.00027036,             0.00027036
                     22,                0.81806,                0.82228,                 1.1189,                0.79167,                0.85454,                0.87366,                0.66775,                 1.0703,                0.93812,                 1.3144,             0.00026707,             0.00026707,             0.00026707
                     23,                0.82218,                 0.8193,                 1.1205,                0.91282,                 0.7872,                0.84907,                0.65645,                 1.0763,                0.90332,                 1.3309,             0.00026377,             0.00026377,             0.00026377
                     24,                 0.8013,                0.79444,                 1.1152,                0.90529,                0.81753,                0.87774,                0.66896,                 1.0471,                0.87832,                 1.3039,             0.00026047,             0.00026047,             0.00026047
                     25,                0.80285,                0.81253,                 1.1102,                 0.9088,                0.80922,                0.87726,                0.67737,                 1.0517,                0.89766,                 1.2963,             0.00025718,             0.00025718,             0.00025718
                     26,                0.78465,                0.77146,                 1.1096,                0.88753,                0.82548,                0.86527,                0.66104,                 1.1025,                0.90563,                 1.3601,             0.00025388,             0.00025388,             0.00025388
                     27,                0.79527,                0.75705,                 1.1016,                0.86612,                 0.8055,                0.86477,                0.66049,                 1.0727,                0.89309,                  1.339,             0.00025058,             0.00025058,             0.00025058
                     28,                0.81115,                0.76857,                 1.1066,                0.90028,                0.80659,                0.85038,                0.64305,                 1.0914,                0.85155,                 1.3393,             0.00024729,             0.00024729,             0.00024729
                     29,                0.77812,                0.75326,                 1.0963,                0.87948,                0.83594,                0.88063,                0.67501,                  1.056,                0.87551,                 1.3187,             0.00024399,             0.00024399,             0.00024399
                     30,                0.77858,                0.74057,                 1.1037,                0.89908,                0.79779,                0.87463,                0.65812,                 1.0762,                0.85294,                  1.308,             0.00024069,             0.00024069,             0.00024069
                     31,                0.78872,                0.74775,                 1.1182,                0.86015,                0.85767,                0.88041,                0.67376,                 1.0718,                 0.8466,                  1.322,              0.0002374,              0.0002374,              0.0002374
