                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72359,                 3.7172,                 1.1251,                0.81891,                0.12667,                0.20352,                0.15772,                 1.0552,                 2.9771,                 1.3783,             8.4426e-05,             8.4426e-05,             8.4426e-05
                      2,                 0.7744,                 2.1503,                 1.1408,                0.83733,                0.41842,                0.49783,                0.39939,                 1.1715,                 1.7457,                 1.4835,              0.0001664,              0.0001664,              0.0001664
                      3,                0.78587,                 1.4642,                 1.1273,                0.86589,                  0.546,                0.58379,                  0.449,                 1.1445,                 1.3723,                  1.454,             0.00024499,             0.00024499,             0.00024499
                      4,                0.76992,                 1.1912,                 1.1068,                  0.823,                0.61712,                0.66451,                  0.521,                 1.1237,                 1.2249,                 1.4052,             0.00024079,             0.00024079,             0.00024079
                      5,                0.77995,                 1.0929,                 1.0986,                0.88331,                0.59527,                0.72372,                0.54291,                 1.1125,                 1.1714,                 1.3841,             0.00024079,             0.00024079,             0.00024079
                      6,                0.75291,                 1.0255,                 1.0965,                0.80874,                0.68369,                0.75807,                0.57734,                 1.1338,                 1.1241,                 1.3983,             0.00023572,             0.00023572,             0.00023572
                      7,                0.74701,                0.96048,                 1.0876,                0.82627,                0.70007,                0.74619,                0.57222,                 1.1321,                 1.1093,                 1.3983,             0.00023066,             0.00023066,             0.00023066
                      8,                 0.7446,                0.93105,                 1.0856,                0.74827,                0.77802,                0.76951,                0.58522,                 1.0914,                 1.0273,                  1.375,             0.00022559,             0.00022559,             0.00022559
                      9,                0.73546,                0.87705,                 1.0747,                0.83365,                0.70737,                0.78439,                0.60494,                 1.0908,                 1.0238,                 1.3781,             0.00022052,             0.00022052,             0.00022052
                     10,                0.72742,                0.87266,                 1.0726,                0.92074,                0.66823,                0.79819,                0.60794,                 1.0855,                0.98964,                 1.3724,             0.00021545,             0.00021545,             0.00021545
                     11,                0.73703,                0.82528,                  1.074,                0.77759,                0.76957,                0.79813,                0.59818,                 1.1043,                0.98536,                  1.371,             0.00021038,             0.00021038,             0.00021038
                     12,                0.73613,                0.84483,                 1.0778,                0.78903,                0.77555,                0.82046,                0.61639,                 1.0975,                0.99454,                 1.3735,             0.00020531,             0.00020531,             0.00020531
                     13,                0.72787,                0.80634,                 1.0706,                0.87579,                0.67446,                0.80749,                0.61095,                 1.0764,                0.96754,                 1.3521,             0.00020024,             0.00020024,             0.00020024
                     14,                0.71182,                0.79523,                  1.064,                0.74294,                0.76177,                0.81282,                0.60385,                 1.0831,                0.96999,                 1.3694,             0.00019517,             0.00019517,             0.00019517
                     15,                0.71034,                0.77873,                 1.0679,                0.81775,                0.74321,                0.82979,                0.61702,                 1.0996,                0.93831,                 1.3999,             0.00019011,             0.00019011,             0.00019011
                     16,                0.71041,                0.76821,                 1.0638,                0.81706,                0.74619,                0.82537,                0.62151,                 1.1146,                0.95271,                  1.381,             0.00018504,             0.00018504,             0.00018504
                     17,                 0.7016,                0.74914,                 1.0695,                0.76008,                 0.7834,                0.82569,                0.62204,                 1.0876,                0.93889,                 1.3686,             0.00017997,             0.00017997,             0.00017997
                     18,                0.68897,                0.73946,                 1.0525,                 0.7971,                0.73722,                 0.8358,                0.62821,                 1.0875,                0.95259,                 1.3733,              0.0001749,              0.0001749,              0.0001749
                     19,                0.70244,                0.73866,                 1.0525,                0.80998,                0.79335,                0.84545,                0.62814,                 1.0694,                0.92467,                 1.3543,             0.00016983,             0.00016983,             0.00016983
                     20,                0.69375,                0.74489,                 1.0625,                0.84035,                0.75585,                0.84442,                0.64509,                 1.0788,                0.92641,                 1.3593,             0.00016476,             0.00016476,             0.00016476
                     21,                0.68569,                0.71936,                 1.0537,                0.77148,                0.83473,                0.84139,                0.63251,                 1.0925,                0.93853,                 1.3688,             0.00015969,             0.00015969,             0.00015969
                     22,                0.69388,                0.70069,                 1.0524,                0.81455,                0.83142,                0.85242,                0.63757,                  1.077,                 0.9591,                 1.3558,             0.00015462,             0.00015462,             0.00015462
                     23,                0.68529,                0.69253,                 1.0475,                0.75444,                0.83152,                0.83859,                0.62995,                 1.0922,                0.92142,                 1.3541,             0.00014956,             0.00014956,             0.00014956
                     24,                0.69107,                0.69355,                 1.0432,                0.76762,                0.83839,                0.85297,                0.63748,                 1.0932,                0.89852,                 1.3677,             0.00014449,             0.00014449,             0.00014449
                     25,                0.67441,                0.69172,                 1.0471,                0.80009,                0.82507,                0.85225,                  0.639,                  1.099,                 0.9279,                  1.396,             0.00013942,             0.00013942,             0.00013942
                     26,                0.67318,                0.67236,                 1.0467,                0.86032,                0.83263,                0.85901,                0.65229,                 1.0735,                0.88597,                  1.358,             0.00013435,             0.00013435,             0.00013435
                     27,                0.67855,                0.67264,                 1.0411,                0.84145,                0.82798,                0.86396,                0.64788,                 1.0821,                0.88886,                 1.3616,             0.00012928,             0.00012928,             0.00012928
                     28,                0.67493,                 0.6631,                 1.0367,                0.85012,                0.80961,                0.85265,                0.65368,                 1.0603,                0.90234,                  1.342,             0.00012421,             0.00012421,             0.00012421
                     29,                0.65914,                0.64825,                 1.0362,                0.83643,                0.81416,                 0.8441,                0.64393,                 1.0672,                0.88849,                 1.3578,             0.00011914,             0.00011914,             0.00011914
                     30,                0.66269,                0.66144,                 1.0383,                0.86798,                0.80627,                0.84855,                0.65185,                 1.0779,                0.87959,                  1.357,             0.00011407,             0.00011407,             0.00011407
                     31,                0.65883,                0.63999,                  1.036,                0.84461,                0.80478,                0.84572,                0.64478,                  1.079,                0.88011,                 1.3583,               0.000109,               0.000109,               0.000109
                     32,                0.65444,                0.63734,                 1.0282,                0.84777,                0.81673,                0.85333,                0.65839,                  1.068,                0.87873,                 1.3567,             0.00010394,             0.00010394,             0.00010394
                     33,                0.67534,                0.66039,                 1.0405,                0.83735,                0.80197,                0.84391,                0.64879,                 1.0691,                0.89388,                 1.3532,             9.8867e-05,             9.8867e-05,             9.8867e-05
                     34,                0.64452,                0.63031,                 1.0278,                 0.8844,                0.80503,                0.85239,                0.65209,                 1.0654,                0.89007,                 1.3523,             9.3798e-05,             9.3798e-05,             9.3798e-05
                     35,                0.63418,                0.62245,                 1.0212,                 0.8838,                0.81904,                0.88165,                0.65708,                 1.0593,                0.88631,                 1.3511,              8.873e-05,              8.873e-05,              8.873e-05
                     36,                0.65062,                0.61509,                 1.0266,                 0.8938,                 0.8119,                0.88631,                0.65254,                 1.0615,                0.86808,                 1.3411,             8.3661e-05,             8.3661e-05,             8.3661e-05
                     37,                0.64592,                0.61856,                 1.0367,                0.87266,                0.80232,                0.87995,                0.64968,                 1.0597,                0.87351,                 1.3446,             7.8592e-05,             7.8592e-05,             7.8592e-05
                     38,                0.62919,                0.60818,                 1.0229,                0.85102,                0.83067,                0.88043,                0.65249,                 1.0583,                0.83838,                 1.3553,             7.3523e-05,             7.3523e-05,             7.3523e-05
                     39,                0.63745,                0.60603,                 1.0249,                0.89614,                0.80822,                0.87825,                0.65337,                 1.0541,                0.85598,                 1.3494,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     40,                0.62216,                 0.6002,                 1.0192,                0.87852,                0.81767,                0.88343,                0.64846,                 1.0591,                0.87334,                 1.3527,             6.3386e-05,             6.3386e-05,             6.3386e-05
                     41,                0.62074,                0.61795,                 1.0036,                  0.891,                 0.8096,                 0.8786,                0.63068,                 1.0955,                0.91923,                 1.4035,             5.8317e-05,             5.8317e-05,             5.8317e-05
                     42,                0.59128,                0.57027,                0.98525,                0.89315,                0.81498,                0.87657,                0.64696,                 1.0796,                0.87692,                  1.377,             5.3248e-05,             5.3248e-05,             5.3248e-05
                     43,                0.58942,                0.55675,                0.99261,                0.87054,                0.80677,                0.87789,                0.65611,                 1.0774,                0.87356,                 1.3749,             4.8179e-05,             4.8179e-05,             4.8179e-05
                     44,                0.57199,                0.54475,                0.98278,                0.83723,                0.82748,                0.88292,                0.66179,                 1.0671,                0.84864,                 1.3633,              4.311e-05,              4.311e-05,              4.311e-05
                     45,                0.56602,                0.53282,                0.98085,                0.88436,                0.80051,                0.88071,                0.65825,                 1.0602,                0.85583,                 1.3565,             3.8042e-05,             3.8042e-05,             3.8042e-05
                     46,                0.55933,                0.53204,                0.97156,                0.86726,                 0.8173,                0.88501,                0.66335,                 1.0544,                0.84701,                  1.357,             3.2973e-05,             3.2973e-05,             3.2973e-05
                     47,                0.55857,                0.52447,                0.96902,                0.86299,                0.82267,                0.88986,                0.66425,                 1.0577,                 0.8476,                 1.3688,             2.7904e-05,             2.7904e-05,             2.7904e-05
                     48,                0.56166,                0.53178,                0.96845,                0.83684,                0.82804,                0.88174,                0.66283,                 1.0592,                0.84784,                 1.3709,             2.2835e-05,             2.2835e-05,             2.2835e-05
                     49,                0.55411,                0.52044,                0.96507,                0.84677,                0.84484,                0.88452,                0.66414,                 1.0491,                0.84459,                 1.3587,             1.7766e-05,             1.7766e-05,             1.7766e-05
                     50,                0.54681,                0.51486,                0.96406,                0.85112,                0.82863,                0.88821,                0.66704,                  1.046,                0.83956,                 1.3554,             1.2698e-05,             1.2698e-05,             1.2698e-05
